,return_1d,return_3d,return_5d,return_10d,return_20d,return_60d,log_return_1d,gap_return,price_location_20d,sma_5,price_to_sma_5_ratio,sma_10,price_to_sma_10_ratio,sma_20,price_to_sma_20_ratio,sma_50,price_to_sma_50_ratio,sma_100,price_to_sma_100_ratio,sma_200,price_to_sma_200_ratio,ema_9,price_to_ema_9_ratio,ema_21,price_to_ema_21_ratio,ema_50,price_to_ema_50_ratio,ema_9_to_21_spread,sma_20_to_50_spread,sma_50_to_200_spread,rsi_14,rsi_momentum_5d,roc_5d,roc_10d,roc_20d,roc_60d,momentum_norm_5d,momentum_norm_10d,momentum_norm_20d,momentum_norm_60d,return_acceleration_5d,volatility_10d,volatility_20d,volatility_60d,atr_14,atr_pct_14,candle_range_pct,downside_volatility_20d,volume_change_1d,volume_sma_10d,volume_to_sma_10_ratio,volume_sma_20d,volume_to_sma_20_ratio,volume_momentum_5d,turnover,turnover_sma_20d,relative_return_5d,relative_return_20d,relative_return_60d,benchmark_ratio,relative_ratio_roc_20d,regime_bench_above_sma50,regime_bench_above_sma200,regime_bench_return_20d,regime_bench_volatility_20d,regime_market_state,has_sufficient_history,has_full_warmup
roc_60d,0.1764,0.2787,0.3419,0.451,0.5963,1.0,0.1779,0.0858,0.446,0.0459,0.2888,0.0411,0.397,0.0328,0.5311,0.0078,0.8041,-0.0224,0.9399,-0.0371,0.8005,0.0423,0.4306,0.0323,0.618,0.0116,0.841,0.7205,0.7801,0.534,0.6411,0.0422,0.3419,0.451,0.5963,1.0,0.3322,0.4398,0.5759,0.9539,0.0481,0.0288,0.0388,0.0106,0.0238,-0.0806,-0.0537,-0.1879,-0.0096,0.0638,-0.0046,0.0594,-0.0071,-0.024,-0.0083,-0.0077,0.287,0.5048,0.8534,0.0493,0.5031,0.3507,0.2721,0.3216,-0.049,0.344,,0.0001
momentum_norm_5d,0.5303,0.7786,0.9691,0.7015,0.5357,0.3322,0.545,0.0995,0.5941,0.0003,0.8347,-0.0086,0.9217,-0.0138,0.7841,-0.0177,0.5564,-0.0201,0.4155,-0.0199,0.3047,-0.0039,0.9112,-0.0109,0.8,-0.0158,0.6075,0.4901,0.1221,0.0279,0.6219,0.7547,0.9691,0.7015,0.5357,0.3322,1.0,0.7648,0.6045,0.3805,0.6962,-0.1214,-0.1012,-0.0672,-0.04,-0.2863,-0.3616,-0.3316,0.0017,0.0104,-0.0057,0.006,-0.0333,-0.0149,-0.0395,-0.02,0.8579,0.4768,0.2878,0.0126,0.4818,0.2138,0.0882,0.2477,0.0485,0.2229,,-0.0081
momentum_norm_10d,0.4026,0.5765,0.729,0.9707,0.6985,0.4398,0.4161,0.0655,0.7034,0.0219,0.6248,0.0111,0.8503,-0.0003,0.9114,-0.0073,0.6973,-0.0112,0.5324,-0.0122,0.391,0.0152,0.857,0.0044,0.8865,-0.0041,0.7381,0.7395,0.223,0.0522,0.7544,0.4065,0.729,0.9707,0.6985,0.4398,0.7648,1.0,0.7507,0.4712,0.0848,-0.1259,-0.0968,-0.0672,-0.0271,-0.2795,-0.3002,-0.3992,-0.0107,-0.0023,-0.0147,-0.0119,-0.0353,-0.0174,-0.0459,-0.0338,0.6507,0.6202,0.3765,0.0304,0.6251,0.2805,0.1098,0.3257,0.0282,0.3084,,0.0057
momentum_norm_20d,0.3265,0.4713,0.5703,0.7157,0.9732,0.5759,0.3379,0.0377,0.7267,0.0252,0.5052,0.0171,0.6548,0.0032,0.8576,-0.0142,0.8537,-0.0209,0.6821,-0.0237,0.5092,0.0193,0.7141,0.0062,0.8756,-0.0078,0.8525,0.9028,0.5382,0.1075,0.8123,0.1878,0.5703,0.7157,0.9732,0.5759,0.6045,0.7507,1.0,0.5907,0.1096,-0.1014,-0.0637,-0.0359,-0.0276,-0.24,-0.2491,-0.4746,0.0084,0.028,-0.0192,0.0214,-0.0592,-0.014,-0.0493,-0.0222,0.4991,0.8499,0.4898,0.0324,0.8543,0.3463,0.1727,0.4787,-0.0245,0.3973,,0.0083
momentum_norm_60d,0.2027,0.2952,0.3569,0.4438,0.5709,0.9539,0.2106,0.0519,0.4282,0.0472,0.3179,0.0423,0.4149,0.0342,0.5313,0.0092,0.791,-0.0219,0.917,-0.0365,0.7678,0.0437,0.4518,0.0337,0.6226,0.0128,0.8357,0.7132,0.7672,0.512,0.6246,0.0433,0.3569,0.4438,0.5709,0.9539,0.3805,0.4712,0.5907,1.0,0.0761,-0.0995,-0.1069,-0.1602,-0.0135,-0.2545,-0.1837,-0.3022,-0.0067,0.0436,-0.0266,0.0419,-0.0396,-0.0224,-0.0501,-0.0373,0.3018,0.4781,0.8149,0.051,0.4797,0.3537,0.2872,0.3171,-0.0755,0.3425,,-0.0038
return_acceleration_5d,0.3631,0.5871,0.7261,0.0445,0.0847,0.0481,0.3648,0.1192,0.1913,-0.0254,0.6085,-0.0276,0.513,-0.0234,0.2386,-0.0219,0.1193,-0.0219,0.0789,-0.0209,0.06,-0.0248,0.4835,-0.024,0.2888,-0.0226,0.1546,-0.0304,-0.0463,-0.0039,0.1754,0.76,0.7261,0.0445,0.0847,0.0481,0.6962,0.0848,0.1096,0.0761,1.0,-0.0164,-0.0272,-0.0182,-0.0292,-0.0998,-0.1432,-0.0572,0.0137,0.0207,0.0378,0.0227,0.0281,-0.004,0.0149,0.0054,0.6295,0.0723,0.0448,-0.0148,0.0736,0.0366,0.0255,0.0446,0.0478,0.0219,,-0.0187
volatility_10d,-0.0878,0.0205,-0.018,-0.0107,0.002,0.0288,-0.1094,0.1452,-0.0009,-0.0446,-0.0403,-0.0442,-0.0343,-0.0424,-0.0325,-0.0394,-0.0174,-0.0369,-0.008,-0.0379,0.0375,-0.0441,-0.0567,-0.0426,-0.0424,-0.0403,-0.0299,-0.0447,-0.0153,0.0485,-0.0258,0.0133,-0.018,-0.0107,0.002,0.0288,-0.1214,-0.1259,-0.1014,-0.0995,-0.0164,1.0,0.8025,0.5723,0.1315,0.7684,0.532,0.6767,-0.0037,0.2563,0.0583,0.2072,0.2027,0.0071,0.2043,0.1118,-0.0388,0.0305,0.0572,-0.0595,0.0216,-0.0856,-0.1328,-0.0499,0.306,-0.0907,,0.009
volatility_20d,-0.0687,0.0174,-0.0183,0.0009,0.0409,0.0388,-0.0863,0.131,0.0297,-0.0568,-0.0349,-0.0564,-0.0308,-0.0555,-0.0059,-0.0523,-0.0034,-0.0482,-0.0004,-0.0481,0.0518,-0.0564,-0.0424,-0.0554,-0.0242,-0.0529,-0.0187,-0.0204,-0.0177,0.052,-0.0145,0.0091,-0.0183,0.0009,0.0409,0.0388,-0.1012,-0.0968,-0.0637,-0.1069,-0.0272,0.8025,1.0,0.719,0.1335,0.8322,0.4591,0.839,-0.0027,0.2799,0.0249,0.2734,0.0664,0.0054,0.1533,0.1544,-0.0377,0.0505,0.0607,-0.0749,0.0414,-0.0514,-0.1406,-0.006,0.4021,-0.0469,,-0.0039
volatility_60d,-0.0409,0.0126,-0.0125,-0.0021,0.0368,0.0106,-0.0525,0.0985,0.0112,-0.054,-0.0204,-0.0534,-0.0247,-0.0526,-0.0124,-0.0492,-0.0265,-0.0413,-0.0338,-0.0352,0.0134,-0.0536,-0.0314,-0.0525,-0.0291,-0.0489,-0.0493,-0.0358,-0.0416,0.0158,-0.0316,0.0079,-0.0125,-0.0021,0.0368,0.0106,-0.0672,-0.0672,-0.0359,-0.1602,-0.0182,0.5723,0.719,1.0,0.1288,0.8,0.372,0.5723,0.0001,0.2531,0.012,0.2633,0.0191,-0.0091,0.0714,0.0825,-0.0177,0.042,0.0177,-0.0787,0.0347,-0.0031,-0.1546,0.0006,0.2789,-0.004,,-0.0039
atr_14,-0.02,-0.019,-0.0234,-0.0043,-0.0075,0.0238,-0.0237,-0.0022,0.0044,0.9464,-0.0297,0.9471,-0.0247,0.9483,-0.0135,0.9496,0.0021,0.9481,0.0217,0.9394,0.0742,0.9471,-0.0264,0.9483,-0.0155,0.9493,0.0016,-0.0031,0.0146,0.0932,0.0093,-0.0223,-0.0234,-0.0043,-0.0075,0.0238,-0.04,-0.0271,-0.0276,-0.0135,-0.0292,0.1315,0.1335,0.1288,1.0,0.1562,0.104,0.101,-0.0236,-0.2535,0.0017,-0.2651,0.0233,-0.0177,-0.0482,-0.0755,-0.0014,0.0231,0.0715,0.9039,0.0211,-0.0424,-0.1164,-0.0559,0.1367,-0.0402,,0.0105
atr_pct_14,-0.1778,-0.1362,-0.1814,-0.1628,-0.1234,-0.0806,-0.1999,0.1254,-0.11,-0.0623,-0.1991,-0.0598,-0.2121,-0.0566,-0.1971,-0.0499,-0.1827,-0.0439,-0.135,-0.0452,-0.0322,-0.0607,-0.2335,-0.0571,-0.2226,-0.0517,-0.2,-0.1893,-0.1185,0.0638,-0.1677,-0.0616,-0.1814,-0.1628,-0.1234,-0.0806,-0.2863,-0.2795,-0.24,-0.2545,-0.0998,0.7684,0.8322,0.8,0.1562,1.0,0.6262,0.7441,-0.0097,0.278,0.0584,0.269,0.1283,-0.0037,0.1077,0.0447,-0.1738,-0.0773,-0.0236,-0.0826,-0.0877,-0.1543,-0.2327,-0.1146,0.3759,-0.1555,,-0.0118
candle_range_pct,-0.2888,-0.1813,-0.2066,-0.1492,-0.1116,-0.0537,-0.3301,0.0786,-0.0513,-0.0249,-0.2684,-0.0224,-0.2377,-0.02,-0.1869,-0.0165,-0.1319,-0.0146,-0.0861,-0.0183,-0.0188,-0.0235,-0.2671,-0.0207,-0.2067,-0.0179,-0.1472,-0.1248,-0.0488,0.0633,-0.0809,-0.0593,-0.2066,-0.1492,-0.1116,-0.0537,-0.3616,-0.3002,-0.2491,-0.1837,-0.1432,0.532,0.4591,0.372,0.104,0.6262,1.0,0.457,0.0101,0.1282,0.4212,0.113,0.4927,-0.0114,0.2693,0.0064,-0.1605,-0.0692,-0.0209,-0.0293,-0.0796,-0.1253,-0.1002,-0.1048,0.1439,-0.1273,,-0.0062
downside_volatility_20d,-0.1786,-0.1743,-0.255,-0.3113,-0.384,-0.1879,-0.1977,0.0848,-0.2608,-0.0698,-0.2264,-0.066,-0.2956,-0.0591,-0.3677,-0.0498,-0.35,-0.0448,-0.2588,-0.0439,-0.1388,-0.0669,-0.3287,-0.0605,-0.384,-0.053,-0.3576,-0.3949,-0.2186,0.0321,-0.343,-0.0737,-0.255,-0.3113,-0.384,-0.1879,-0.3316,-0.3992,-0.4746,-0.3022,-0.0572,0.6767,0.839,0.5723,0.101,0.7441,0.457,1.0,0.001,0.1881,0.0245,0.1854,0.0716,0.0058,0.1538,0.1595,-0.2567,-0.3534,-0.152,-0.088,-0.3618,-0.1483,-0.1594,-0.1572,0.3775,-0.1613,,-0.0042
volume_change_1d,-0.0198,-0.0119,0.0012,-0.0122,0.0084,-0.0096,-0.0196,-0.0112,0.0065,-0.0233,-0.0098,-0.0234,-0.0087,-0.0235,-0.0001,-0.0234,-0.0071,-0.0228,-0.021,-0.0223,-0.0305,-0.0234,-0.0074,-0.0234,-0.0042,-0.0233,-0.0107,0.0014,-0.0113,-0.0359,-0.0052,-0.0023,0.0012,-0.0122,0.0084,-0.0096,0.0017,-0.0107,0.0084,-0.0067,0.0137,-0.0037,-0.0027,0.0001,-0.0236,-0.0097,0.0101,0.001,1.0,0.0025,0.048,0.0041,0.0347,-0.0021,0.0475,0.034,0.0084,-0.0066,-0.0067,-0.0261,-0.0057,-0.0332,-0.0383,0.0286,0.0028,0.0001,,0.0016
volume_sma_10d,-0.0301,0.0273,0.0253,0.0164,0.0515,0.0638,-0.0316,0.0513,-0.0287,-0.2594,0.0027,-0.2594,0.0077,-0.2596,0.0246,-0.2602,0.0547,-0.2603,0.0604,-0.26,0.0653,-0.2595,0.0073,-0.2597,0.0286,-0.2602,0.0506,0.0456,0.0609,0.0487,0.0015,0.001,0.0253,0.0164,0.0515,0.0638,0.0104,-0.0023,0.028,0.0436,0.0207,0.2563,0.2799,0.2531,-0.2535,0.278,0.1282,0.1881,0.0025,1.0,-0.0034,0.9705,0.0224,0.0001,0.1567,0.1914,0.0196,0.0387,0.03,-0.2646,0.0371,0.0334,0.0267,0.0365,0.0298,0.0265,,0.002
volume_to_sma_10_ratio,0.0702,0.0715,0.0338,0.0135,0.0047,-0.0046,0.0549,0.0378,0.0323,-0.0143,0.0665,-0.0137,0.0373,-0.0128,0.0177,-0.0121,0.0076,-0.0117,0.0048,-0.0112,0.0014,-0.0137,0.0393,-0.0131,0.0225,-0.0124,0.0105,-0.0158,-0.0104,-0.0057,0.0287,0.055,0.0338,0.0135,0.0047,-0.0046,-0.0057,-0.0147,-0.0192,-0.0266,0.0378,0.0583,0.0249,0.012,0.0017,0.0584,0.4212,0.0245,0.048,-0.0034,1.0,0.0018,0.93,0.015,0.4292,-0.025,0.0571,0.0195,0.0013,-0.0088,0.0177,-0.0329,-0.0167,-0.0249,-0.0022,-0.0263,,0.009
volume_sma_20d,-0.0183,0.0231,0.0155,-0.0003,0.0422,0.0594,-0.0196,0.0476,-0.0348,-0.2703,0.0035,-0.2702,0.0006,-0.2705,0.0103,-0.2712,0.045,-0.2713,0.0544,-0.271,0.059,-0.2704,0.0013,-0.2706,0.0175,-0.2712,0.0406,0.032,0.061,0.0479,-0.0038,0.0015,0.0155,-0.0003,0.0422,0.0594,0.006,-0.0119,0.0214,0.0419,0.0227,0.2072,0.2734,0.2633,-0.2651,0.269,0.113,0.1854,0.0041,0.9705,0.0018,1.0,-0.0025,-0.0017,0.1431,0.1944,0.0093,0.0276,0.024,-0.2757,0.0262,0.0397,0.0299,0.0371,0.034,0.0305,,-0.0028
volume_to_sma_20_ratio,0.0387,0.0676,0.0307,0.0202,-0.0181,-0.0071,0.0199,0.0521,0.0289,-0.0085,0.0475,-0.008,0.0304,-0.0068,0.0098,-0.0053,-0.0048,-0.0053,-0.0013,-0.0055,0.003,-0.0079,0.0237,-0.007,0.01,-0.006,0.0006,-0.0291,-0.0269,0.0045,0.0254,0.0642,0.0307,0.0202,-0.0181,-0.0071,-0.0333,-0.0353,-0.0592,-0.0396,0.0281,0.2027,0.0664,0.0191,0.0233,0.1283,0.4927,0.0716,0.0347,0.0224,0.93,-0.0025,1.0,0.0198,0.4743,-0.0202,0.0469,-0.0027,-0.0017,-0.0035,-0.0058,-0.0437,-0.0253,-0.032,0.0022,-0.039,,0.0158
volume_momentum_5d,0.0011,-0.0127,-0.0159,-0.0193,-0.015,-0.024,0.0013,0.0001,-0.0179,-0.0168,-0.0143,-0.0167,-0.0166,-0.0166,-0.0174,-0.0163,-0.0221,-0.0161,-0.023,-0.0154,-0.0228,-0.0168,-0.0174,-0.0166,-0.0196,-0.0164,-0.0227,-0.0176,-0.0186,-0.0161,-0.024,-0.021,-0.0159,-0.0193,-0.015,-0.024,-0.0149,-0.0174,-0.014,-0.0224,-0.004,0.0071,0.0054,-0.0091,-0.0177,-0.0037,-0.0114,0.0058,-0.0021,0.0001,0.015,-0.0017,0.0198,1.0,0.0453,0.0397,-0.0074,-0.0021,-0.0062,-0.0203,-0.0016,-0.018,-0.0239,-0.0267,-0.0005,-0.0307,,0.0016
turnover,0.0046,0.027,0.0103,0.0029,-0.0074,-0.0083,-0.008,0.0155,0.0216,-0.085,0.0111,-0.0847,0.0015,-0.0843,-0.0034,-0.084,-0.0074,-0.0828,-0.0175,-0.082,-0.0204,-0.0847,-0.0035,-0.0845,-0.0063,-0.084,-0.0129,-0.0239,-0.0166,-0.0265,0.0026,0.0378,0.0103,0.0029,-0.0074,-0.0083,-0.0395,-0.0459,-0.0493,-0.0501,0.0149,0.2043,0.1533,0.0714,-0.0482,0.1077,0.2693,0.1538,0.0475,0.1567,0.4292,0.1431,0.4743,0.0453,1.0,0.751,0.0065,-0.014,-0.0309,-0.0963,-0.0167,0.0172,-0.0379,0.0098,0.1266,0.0184,,0.0159
turnover_sma_20d,-0.0016,-0.0086,-0.0092,-0.0193,-0.0051,-0.0077,-0.0041,-0.0143,-0.0052,-0.1018,-0.0116,-0.1016,-0.0192,-0.1016,-0.0184,-0.102,-0.0163,-0.1009,-0.0258,-0.0999,-0.0275,-0.1017,-0.0193,-0.1018,-0.0212,-0.1017,-0.0251,-0.0224,-0.0102,-0.0316,-0.0262,0.0065,-0.0092,-0.0193,-0.0051,-0.0077,-0.02,-0.0338,-0.0222,-0.0373,0.0054,0.1118,0.1544,0.0825,-0.0755,0.0447,0.0064,0.1595,0.034,0.1914,-0.025,0.1944,-0.0202,0.0397,0.751,1.0,-0.0278,-0.0259,-0.0398,-0.1208,-0.0265,0.0508,-0.0275,0.0354,0.1565,0.0499,,0.0133
relative_return_5d,0.4385,0.6905,0.8728,0.6317,0.4713,0.287,0.4445,0.0915,0.527,0.0164,0.7255,0.0087,0.8173,0.0044,0.6969,0.0014,0.4893,-0.0004,0.3593,-0.0002,0.2654,0.0128,0.799,0.0069,0.7054,0.0029,0.5323,0.4266,0.0936,0.0202,0.5524,0.6872,0.8728,0.6317,0.4713,0.287,0.8579,0.6507,0.4991,0.3018,0.6295,-0.0388,-0.0377,-0.0177,-0.0014,-0.1738,-0.1605,-0.2567,0.0084,0.0196,0.0571,0.0093,0.0469,-0.0074,0.0065,-0.0278,1.0,0.534,0.3204,0.0209,0.5363,0.047,0.0004,0.0158,0.015,0.034,,0.0091
relative_return_20d,0.2598,0.4029,0.4815,0.6273,0.8707,0.5048,0.263,0.054,0.6357,0.0403,0.4165,0.0336,0.5551,0.0214,0.7468,0.006,0.7541,0.0014,0.5895,-0.0009,0.4379,0.0353,0.603,0.024,0.7586,0.0119,0.7428,0.7912,0.478,0.0763,0.7153,0.1593,0.4815,0.6273,0.8707,0.5048,0.4768,0.6202,0.8499,0.4781,0.0723,0.0305,0.0505,0.042,0.0231,-0.0773,-0.0692,-0.3534,-0.0066,0.0387,0.0195,0.0276,-0.0027,-0.0021,-0.014,-0.0259,0.534,1.0,0.5827,0.0371,0.9993,0.0271,-0.0062,0.0054,0.011,0.0204,,-0.0001
relative_return_60d,0.1607,0.2521,0.295,0.3859,0.5086,0.8534,0.1622,0.062,0.3737,0.0736,0.2588,0.0695,0.346,0.0625,0.4536,0.0404,0.6885,0.0148,0.7938,0.003,0.6664,0.0706,0.374,0.0619,0.5293,0.044,0.7158,0.6102,0.6686,0.4311,0.5384,0.0318,0.295,0.3859,0.5086,0.8534,0.2878,0.3765,0.4898,0.8149,0.0448,0.0572,0.0607,0.0177,0.0715,-0.0236,-0.0209,-0.152,-0.0067,0.03,0.0013,0.024,-0.0017,-0.0062,-0.0309,-0.0398,0.3204,0.5827,1.0,0.0665,0.5808,0.0181,0.009,0.0058,0.0176,0.0159,,0.0103
benchmark_ratio,0.0027,0.0046,0.0107,0.031,0.0306,0.0493,0.0034,-0.0155,0.0382,0.968,0.0047,0.9677,0.0147,0.9671,0.0326,0.9657,0.0503,0.9626,0.0615,0.9556,0.0886,0.9679,0.0189,0.9675,0.0358,0.9664,0.0539,0.0503,0.0509,0.0854,0.0582,-0.0105,0.0107,0.031,0.0306,0.0493,0.0126,0.0304,0.0324,0.051,-0.0148,-0.0595,-0.0749,-0.0787,0.9039,-0.0826,-0.0293,-0.088,-0.0261,-0.2646,-0.0088,-0.2757,-0.0035,-0.0203,-0.0963,-0.1208,0.0209,0.0371,0.0665,1.0,0.038,-0.0025,-0.0158,-0.0032,-0.001,-0.0003,,0.0023
relative_ratio_roc_20d,0.2636,0.4048,0.4839,0.6292,0.8706,0.5031,0.2673,0.0516,0.6365,0.0409,0.4199,0.0341,0.5582,0.0219,0.7489,0.0065,0.7542,0.0019,0.5885,-0.0004,0.4364,0.0359,0.6065,0.0245,0.7608,0.0124,0.7433,0.7925,0.4769,0.0745,0.7158,0.1596,0.4839,0.6292,0.8706,0.5031,0.4818,0.6251,0.8543,0.4797,0.0736,0.0216,0.0414,0.0347,0.0211,-0.0877,-0.0796,-0.3618,-0.0057,0.0371,0.0177,0.0262,-0.0058,-0.0016,-0.0167,-0.0265,0.5363,0.9993,0.5808,0.038,1.0,0.0275,-0.0059,0.0065,0.0104,0.0209,,-0.0001
regime_bench_above_sma50,0.1241,0.1668,0.2211,0.2854,0.3499,0.3507,0.1249,0.057,0.325,0.0013,0.1853,-0.0017,0.2532,-0.0071,0.3337,-0.0181,0.4112,-0.0273,0.3986,-0.0293,0.3066,-0.001,0.2744,-0.0066,0.3636,-0.0153,0.415,0.3983,0.3402,0.142,0.3977,0.0901,0.2211,0.2854,0.3499,0.3507,0.2138,0.2805,0.3463,0.3537,0.0366,-0.0856,-0.0514,-0.0031,-0.0424,-0.1543,-0.1253,-0.1483,-0.0332,0.0334,-0.0329,0.0397,-0.0437,-0.018,0.0172,0.0508,0.047,0.0271,0.0181,-0.0025,0.0275,1.0,0.3992,0.6636,-0.1265,0.9053,,-0.0226
regime_bench_above_sma200,0.0262,0.0657,0.0932,0.1111,0.1722,0.2721,0.0263,0.0251,0.1336,-0.0447,0.0744,-0.0463,0.1054,-0.0493,0.1433,-0.0574,0.2224,-0.073,0.3198,-0.0874,0.3383,-0.0459,0.1143,-0.0494,0.1721,-0.0575,0.2589,0.2086,0.2226,0.3149,0.1942,0.0214,0.0932,0.1111,0.1722,0.2721,0.0882,0.1098,0.1727,0.2872,0.0255,-0.1328,-0.1406,-0.1546,-0.1164,-0.2327,-0.1002,-0.1594,-0.0383,0.0267,-0.0167,0.0299,-0.0253,-0.0239,-0.0379,-0.0275,0.0004,-0.0062,0.009,-0.0158,-0.0059,0.3992,1.0,0.3608,-0.3201,0.4003,,-0.0158
regime_bench_return_20d,0.1101,0.1982,0.2625,0.3373,0.4965,0.3216,0.1109,0.0674,0.4198,-0.0226,0.2067,-0.0265,0.2946,-0.0338,0.4139,-0.0426,0.4355,-0.0481,0.3804,-0.0511,0.2988,-0.0255,0.3202,-0.0322,0.4238,-0.0398,0.4405,0.4618,0.2947,0.1106,0.4487,0.1073,0.2625,0.3373,0.4965,0.3216,0.2477,0.3257,0.4787,0.3171,0.0446,-0.0499,-0.006,0.0006,-0.0559,-0.1146,-0.1048,-0.1572,0.0286,0.0365,-0.0249,0.0371,-0.032,-0.0267,0.0098,0.0354,0.0158,0.0054,0.0058,-0.0032,0.0065,0.6636,0.3608,1.0,-0.0498,0.7854,,0.0221
regime_bench_volatility_20d,0.0488,0.0575,0.0608,0.0391,-0.015,-0.049,0.0455,0.0631,0.0694,0.0349,0.0541,0.0342,0.0563,0.0344,0.0358,0.0385,-0.0403,0.0431,-0.0668,0.0419,-0.0234,0.0347,0.05,0.0352,0.0144,0.0379,-0.0368,-0.038,-0.1055,-0.0137,-0.0325,0.0824,0.0608,0.0391,-0.015,-0.049,0.0485,0.0282,-0.0245,-0.0755,0.0478,0.306,0.4021,0.2789,0.1367,0.3759,0.1439,0.3775,0.0028,0.0298,-0.0022,0.034,0.0022,-0.0005,0.1266,0.1565,0.015,0.011,0.0176,-0.001,0.0104,-0.1265,-0.3201,-0.0498,1.0,-0.1075,,-0.0366
regime_market_state,0.1148,0.1683,0.2313,0.3155,0.4039,0.344,0.116,0.0597,0.3742,0.002,0.1842,-0.0015,0.2677,-0.0076,0.3674,-0.0176,0.419,-0.0258,0.3946,-0.028,0.2995,-0.0006,0.29,-0.0067,0.3873,-0.015,0.4258,0.4269,0.3173,0.1259,0.4246,0.0907,0.2313,0.3155,0.4039,0.344,0.2229,0.3084,0.3973,0.3425,0.0219,-0.0907,-0.0469,-0.004,-0.0402,-0.1555,-0.1273,-0.1613,0.0001,0.0265,-0.0263,0.0305,-0.039,-0.0307,0.0184,0.0499,0.034,0.0204,0.0159,-0.0003,0.0209,0.9053,0.4003,0.7854,-0.1075,1.0,,0.015
has_sufficient_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
has_full_warmup,0.01,0.0041,-0.0079,0.0078,0.0108,0.0001,0.0096,0.0013,-0.0051,0.0114,-0.0011,0.0115,-0.0019,0.0116,-0.0038,0.0111,0.0154,0.0115,0.0038,0.011,0.0111,0.0115,-0.0008,0.0114,0.0037,0.0113,0.0083,0.0084,0.0291,0.0042,0.0064,-0.0138,-0.0079,0.0078,0.0108,0.0001,-0.0081,0.0057,0.0083,-0.0038,-0.0187,0.009,-0.0039,-0.0039,0.0105,-0.0118,-0.0062,-0.0042,0.0016,0.002,0.009,-0.0028,0.0158,0.0016,0.0159,0.0133,0.0091,-0.0001,0.0103,0.0023,-0.0001,-0.0226,-0.0158,0.0221,-0.0366,0.015,,1.0
